"julia_version_prefix","client_type","date","request_addrs","request_count","successes","cache_misses","body_bytes_sent","request_time"
"1.10.0","user","2024-03-30",421,30850,28107,74,41711930575,3084.569
"1.10.0","user","2024-03-31",359,23290,21269,99,26852646700,2447.571
"1.10.0","user","2024-04-01",565,50324,43847,122,92767928770,3987.393
"1.10.0","user","2024-04-02",774,76526,66216,129,131504700794,6819.704
"1.10.0","user","2024-04-03",832,61549,56388,262,103766007044,9374.131
"1.10.0","user","2024-04-04",881,70698,65411,163,137924020099,12359.515
"1.10.0","user","2024-04-05",753,44828,41122,502,93090218433,13106.185
"1.10.0","user","2024-04-06",379,16593,15244,250,24729942555,8379.737
"1.10.0","user","2024-04-07",438,19682,17951,126,23133194876,4508.5
"1.10.0","user","2024-04-08",819,49969,46217,372,70970497727,11636.145
"1.10.0","user","2024-04-09",616,40021,36549,358,46917007690,6642.16
"1.10.0","user","2024-04-10",534,34908,31959,222,36210271526,5935.52
"1.10.0","user","2024-04-11",576,35196,32062,191,52888107364,7486.843
"1.10.0","user","2024-04-12",486,34246,31891,151,81718202732,5670.776
"1.10.0","user","2024-04-13",226,12357,11427,48,40951093499,8338.366
"1.10.0","user","2024-04-14",294,25491,24160,108,85915897609,31400.659
"1.10.0","user","2024-04-15",523,38262,35611,442,109443612793,16911.427
"1.10.0","user","2024-04-16",683,50681,47407,260,93100603110,27265.854
"1.10.0","user","2024-04-17",727,51388,38644,103,70873751052,11969.81
"1.10.0","user","2024-04-18",878,58287,43804,154,81237381754,22042.456
"1.10.0","user","2024-04-19",759,51920,37023,110,44382019191,24518.58
"1.10.0","user","2024-04-20",315,19122,13723,63,40186166599,2342.037
"1.10.0","user","2024-04-21",331,20243,13526,147,49680136263,4531.618
"1.10.0","user","2024-04-22",837,64315,43123,269,75881873828,5845.663
"1.10.0","user","2024-04-23",839,62241,42961,156,82654662387,21817.391
"1.10.0","user","2024-04-24",868,68557,41443,163,83308553580,11540.076
"1.10.0","user","2024-04-25",803,71077,50972,158,161028362638,16230.538
"1.10.0-DEV","ci","2023-04-26",1067,341939,253230,845,205382892191,6788.549
"1.10.0-DEV","ci","2023-04-27",1120,355888,250734,569,187508105994,7574.061
"1.10.0-DEV","ci","2023-04-28",1041,328850,236375,742,215517916613,8302.906
"1.10.0-DEV","ci","2023-04-29",592,176880,124960,408,85879856407,1738.089
"1.10.0-DEV","ci","2023-04-30",682,116671,91825,431,59959469371,1563.329
"1.10.0-DEV","ci","2023-05-01",970,149833,117067,508,109310340471,3135.965
"1.10.0-DEV","ci","2023-05-02",1239,267453,201931,822,164390815727,7485.88
"1.10.0-DEV","ci","2023-05-03",1221,296457,219358,762,198970673585,15483.151
"1.10.0-DEV","ci","2023-05-04",1015,382857,262844,501,235931949041,10648.327
"1.10.0-DEV","ci","2023-05-05",1217,417429,301375,767,249705468235,8749.234
